id,address_comment,address_name,article,article_warning,text,text_warning,warning,full_address_name,name,lat,lon,type,text_query,city,y_coord,x_coord
12107,1 этаж,"Электролитный проезд, 3 ст1",,,,,,"Москва, Электролитный проезд, 3 ст1","Klokov&Bazateam, многофункциональный тренировочный клуб",55.674943,37.615716,branch,фитнес-клуб,msc,-8.579153829716205,-0.12671369452424297
12109,,"Погонный проезд, 3а",,,,,,"Москва, Погонный проезд, 3а","Планета здоровья, аптека",55.819922,37.700679,branch,аптека,msc,7.562406371519324,5.208259051329481
12110,1 этаж,"Ленинградский проспект, 37Б",,,,,,"Москва, Ленинградский проспект, 37Б","Перекрёсток, супермаркет",55.789967,37.54464,branch,продуктовый магазин,msc,4.22726824490673,-4.589697898279664
12114,,"улица Краснобогатырская, 31 к2",,,,,,"Москва, улица Краснобогатырская, 31 к2","Бэмби, универмаг",55.809561,37.705244,branch,тц,msc,6.408828620091731,5.494903207018293
12115,2 этаж,"Большой Спасоглинищевский переулок, 3 ст5",,,,,,"Москва, Большой Спасоглинищевский переулок, 3 ст5","Mos lounge & bar, центр паровых коктейлей",55.756557,37.635111,branch,кафе,msc,0.5074756622822884,1.0911317463130787
12118,,"улица Конёнкова, 3",,,,,,"Москва, улица Конёнкова, 3","Виктория, супермаркет",55.888024,37.601795,branch,продуктовый магазин,msc,15.144826629669335,-1.0008372510618837
12120,0 этаж,"Шереметьевская улица, 6 к1",,,,,,"Москва, Шереметьевская улица, 6 к1","ВкусВилл, магазин с доставкой полезных продуктов",55.795653,37.616669,branch,продуктовый магазин,msc,4.860336437832589,-0.06687318368254974
12124,,"улица Тушинская, 16",,,,,,"Москва, улица Тушинская, 16","Авиатор, торговый центр",55.827466,37.444909,branch,тц,msc,8.402344920634171,-10.851976503595736
12125,1 этаж; супермаркет Дикси,"улица Корнейчука, 54",,,,,,"Москва, улица Корнейчука, 54",Аптека Эконом,55.894108,37.628491,branch,аптека,msc,15.82221825853386,0.6754505503852178
12128,1 этаж,"Новодмитровская улица, 1 ст2",,,,,,"Москва, Новодмитровская улица, 1 ст2","Азия, супермаркет восточных продуктов",55.806105,37.583839,branch,продуктовый магазин,msc,6.024043348310139,-2.128325388135776
12129,Б корпус; 1 этаж,"Щёлковское шоссе, 3 ст1",,,,,,"Москва, Щёлковское шоссе, 3 ст1","Евровосток, кафе",55.803505,37.753632,branch,кафе,msc,5.734563831304693,8.533268038148762
12131,1 этаж,"Профсоюзная улица, 122",,,,,,"Москва, Профсоюзная улица, 122","Здоров.Ру, аптека",55.633689,37.518354,branch,аптека,msc,-13.172189797223513,-6.240240774852964
12133,1 этаж,"Ярославское шоссе, 12 к2",,,,,,"Москва, Ярославское шоссе, 12 к2","Столички, аптека",55.854458,37.682807,branch,аптека,msc,11.40760544234297,4.086045560583405
12136,1 этаж,"Погонный проезд, 3а к3",,,,,,"Москва, Погонный проезд, 3а к3","Лес чудес, семейный клуб",55.821008,37.702165,branch,детский сад,msc,7.683320048921746,5.301567532874427
12141,,"Нижегородская улица, 80 к2",,,,,,"Москва, Нижегородская улица, 80 к2",Школа Эрудит,55.730884,37.71481,branch,детский сад,msc,-2.350883298809728,6.0955686842183505
12145,1 этаж,"улица Паперника, 9",,,,,,"Москва, улица Паперника, 9","Перекрёсток, супермаркет",55.720636,37.787348,branch,продуктовый магазин,msc,-3.491863177821406,10.650352438787445
12146,,"Кировоградская улица, 17",,,,,,"Москва, Кировоградская улица, 17","Пятёрочка, супермаркет",55.609119,37.604394,branch,продуктовый магазин,msc,-15.907689006595424,-0.8376415670982754
12147,1 этаж,"улица Семашко, 23",,,,,,"Мытищи (Мытищи городской округ, Московская обл.), улица Семашко, 23","Пятёрочка, супермаркет",55.893022,37.728373,branch,продуктовый магазин,msc,15.70130313533997,6.947212567223166
12148,1 этаж,"Волгоградский проспект, 42 к12",,,,,,"Москва, Волгоградский проспект, 42 к12","СМ-Клиника, сеть аптек",55.70896,37.725303,branch,аптека,msc,-4.791829721045249,6.754442041099743
12149,1 этаж,"переулок Расковой, 14-22",,,,,,"Москва, переулок Расковой, 14-22","СМ-Клиника, сеть аптек",55.785927,37.574984,branch,аптека,msc,3.777462852168634,-2.6843460630552807
12150,2 этаж,"Мартеновская улица, 41 ст2",,,,,,"Москва, Мартеновская улица, 41 ст2","Паллада & Лакшми, сеть фитнес-центров и СПА-салонов",55.745499,37.809354,branch,фитнес-клуб,msc,-0.723692149469877,12.03214589376649
12153,1 этаж,"Большая Черкизовская улица, 3 к1",,,,,,"Москва, Большая Черкизовская улица, 3 к1","Здоров.Ру, аптека",55.797163,37.717102,branch,аптека,msc,5.02845700315189,6.239487274385459
12154,2 этаж,"Ленинградское шоссе, 44",,,,,,"Москва, Ленинградское шоссе, 44","Лаззат, чайхана",55.832238,37.487628,branch,кафе,msc,8.933653350569772,-8.169578553075521
12163,1 этаж,"Алтайская улица, 9а",,,,,,"Москва, Алтайская улица, 9а","Пятёрочка, супермаркет",55.820636,37.816773,branch,продуктовый магазин,msc,7.641902101756333,12.497997215077664
12168,1 этаж,"улица Серафимовича, 2",,,,,,"Москва, улица Серафимовича, 2","Красное&Белое, магазин алкогольных напитков",55.744178,37.613539,branch,продуктовый магазин,msc,-0.8707685674736325,-0.26341127277832926
12170,1 этаж,"Дмитровское шоссе, 113 к1",,,,,,"Москва, Дмитровское шоссе, 113 к1","Столички, аптека",55.883283,37.541488,branch,аптека,msc,14.616964882393956,-4.787617376578672
12171,,"улица Короленко, 2 к1",,,,,,"Москва, улица Короленко, 2 к1","Столички, аптека",55.797829,37.688492,branch,аптека,msc,5.102608206095288,4.443016455973304
12172,1 этаж,"Кастанаевская улица, 30 к1",,,,,,"Москва, Кастанаевская улица, 30 к1","Столички, аптека",55.737283,37.486408,branch,аптека,msc,-1.6384379237489892,-8.246184419577661
12173,1 этаж,"Рублёвское шоссе, 91 к4",,,,,,"Москва, Рублёвское шоссе, 91 к4","Lampa, кафе",55.740798,37.42774,branch,кафе,msc,-1.247088099210696,-11.930046650882758
12175,цокольный этаж,"Кастанаевская улица, 38",,,,,,"Москва, Кастанаевская улица, 38","Хурма, кафе",55.735958,37.479982,branch,кафе,msc,-1.7859594918616277,-8.649683833602918
12180,1 этаж,"улица Мельникова, 3 к3",,,,,,"Москва, улица Мельникова, 3 к3","Sun School, частный английский детский сад",55.726293,37.675015,branch,детский сад,msc,-2.862030942490611,3.5967725122707503
12189,1 этаж,"Хорошёвское шоссе, 23 к1",,,,,,"Москва, Хорошёвское шоссе, 23 к1",B.R.B. #скоровернусь,55.776862,37.528218,branch,кафе,msc,2.768185250555677,-5.620863375209199
12191,1 этаж,"Хлебный переулок, 2/3 ст2",,,,,,"Москва, Хлебный переулок, 2/3 ст2","Kidsberry, детский сад",55.754918,37.597706,branch,детский сад,msc,0.3249936944618823,-1.2575925992033803
12200,1 этаж,"шоссе Энтузиастов, 10/2",,,,,,"Москва, шоссе Энтузиастов, 10/2","Планета здоровья, аптека",55.748268,37.703893,branch,аптека,msc,-0.41539938800853266,5.410071607551567
12201,1 этаж,"проспект Маршала Жукова, 4 ст1",,,,,,"Москва, проспект Маршала Жукова, 4 ст1","NEF, фитнес-клуб",55.7764,37.500303,branch,фитнес-клуб,msc,2.7167472044173704,-7.373693797139743
12210,1 этаж,"Пролетарский проспект, 30",,,,,,"Москва, Пролетарский проспект, 30","Ашан, гипермаркет",55.630358,37.658893,branch,продуктовый магазин,msc,-13.543047092487793,2.584444438297421
12214,1-2 этаж,"улица Барклая, 9",,,,,,"Москва, улица Барклая, 9","Айва, чайхана",55.741001,37.500003,branch,кафе,msc,-1.2244866657609155,-7.392531306894606
12215,цокольный этаж,"проспект Мира, 33 к1",,,,,,"Москва, проспект Мира, 33 к1","Перекрёсток, супермаркет",55.7804,37.632211,branch,продуктовый магазин,msc,3.16209838223753,0.9090357543894676
12218,цокольный этаж,"улица Усачёва, 26",,,,,,"Москва, улица Усачёва, 26",Кофемания,55.727736,37.567781,branch,кафе,msc,-2.701371857412988,-3.13663480962092
12220,цокольный этаж,"улица Габричевского, 10 к1",,,,,,"Москва, улица Габричевского, 10 к1","Сфера, торговый центр",55.816706,37.460004,branch,тц,msc,7.2043416849294895,-9.904136137610642
12221,203 офис; 2 этаж,"3-й Хорошёвский проезд, 5 ст3",,,,,,"Москва, 3-й Хорошёвский проезд, 5 ст3","Brutal Gym Moscow, фитнес-зал",55.773666,37.53626,branch,фитнес-клуб,msc,2.412349842208976,-5.1158924448498295
12224,2 этаж,"улица Маршала Малиновского, 8",,,,,,"Москва, улица Маршала Малиновского, 8","Октябрьский, торговый центр",55.792628,37.494274,branch,тц,msc,4.523538741606659,-7.752264944764661
12227,1 этаж,"улица Стартовая, 23 к1",,,,,,"Москва, улица Стартовая, 23 к1","Ярче!, супермаркет",55.886972,37.694456,branch,продуктовый магазин,msc,15.027697179003555,4.817506231591821
12228,,"улица Саратовская, 1 к1",,,,,,"Москва, улица Саратовская, 1 к1","Ярче!, супермаркет",55.713894,37.729444,branch,продуктовый магазин,msc,-4.242495070423671,7.014462479611624
12233,цокольный этаж,"Чертановская улица, 54 к1",,,,,,"Москва, Чертановская улица, 54 к1","Стрекоза, торговый центр",55.603349,37.58904,branch,тц,msc,-16.55008994851923,-1.8017456515585637
12235,,"улица Ивана Бабушкина, 15 к5",,,,,,"Москва, улица Ивана Бабушкина, 15 к5",Школа №199,55.684248,37.564561,branch,школа,msc,-7.543172425066237,-3.338824139724491
12238,1 этаж,"Мосфильмовская улица, 88 к2 ст6",,,,,,"Москва, Мосфильмовская улица, 88 к2 ст6","XFIT, сеть фитнес-клубов",55.705483,37.495248,branch,фитнес-клуб,msc,-5.178946718132507,-7.691105831825171
12242,,"Новоясеневский проспект, 9",,,,,,"Москва, Новоясеневский проспект, 9",Encore fitness,55.608838,37.535135,branch,фитнес-клуб,msc,-15.93897405789413,-5.186533119470252
12246,,"проспект Вернадского, 37 к2",,,,,,"Москва, проспект Вернадского, 37 к2","FORUM, многофункциональный комплекс",55.677328,37.509622,branch,тц,msc,-8.313617639679215,-6.788537935703531
12248,1 этаж,"Малая Филёвская улица, 54",,,,,,"Москва, Малая Филёвская улица, 54","Планета здоровья, аптека",55.733701,37.450165,branch,аптека,msc,-2.037247100560363,-10.521943462730219
12249,1 этаж,"улица Неглинная, 18 ст1",,,,,,"Москва, улица Неглинная, 18 ст1","Планета здоровья, аптека",55.765481,37.620727,branch,аптека,msc,1.5010513118103854,0.1879356232386426
12250,1 этаж,"Электролитный проезд, 16 к7",,,,,,"Москва, Электролитный проезд, 16 к7","Планета здоровья, аптека",55.669118,37.611892,branch,аптека,msc,-9.227685178051065,-0.3668292384632221
12253,цокольный этаж,"улица Покрышкина, 7 к1",,,,,,"Москва, улица Покрышкина, 7 к1","Экономъ, аптека",55.664691,37.468303,branch,аптека,msc,-9.7205685884559,-9.383027958522785
12254,цокольный этаж,"Минская улица, 1г к4",,,,,,"Москва, Минская улица, 1г к4","Золотые ключи 2, торговый центр",55.712796,37.500774,branch,тц,msc,-4.364742665883897,-7.344118906755413
12256,3 этаж,"Алтуфьевское шоссе, 70/1",,,,,,"Москва, Алтуфьевское шоссе, 70/1","Mos lounge & bar, центр паровых коктейлей",55.887955,37.588078,branch,кафе,msc,15.13714418409313,-1.8621512865616008
12257,1 этаж,"улица Покрышкина, 8 к1",,,,,,"Москва, улица Покрышкина, 8 к1","Атланта, фитнес-клуб",55.665452,37.470421,branch,фитнес-клуб,msc,-9.635842100412487,-9.250035167990754
