region,transport_type,latitude,longitude,y_coord,x_coord
kzn,bus,55.83297775084756,49.062829592052154,4.102905605673717,-2.733649824757513
kzn,bus,55.83317340316108,49.071496319405895,4.124689297698013,-2.190065587561319
kzn,bus,55.83145330183922,49.051125508744704,3.933175320176897,-3.467739497427234
kzn,bus,55.8002996979691,49.30001636523027,0.46458049589312916,12.142895434747619
kzn,bus,55.79331806593944,49.21955661047192,-0.31274135887474364,7.09639668357346
kzn,train,55.829047,48.893935,3.6652607067155474,-13.32685220198074
kzn,train,55.8363,48.896872,4.4728009040009145,-13.142641362943383
kzn,train,55.843775,48.893946,5.305059314021744,-13.326162273755722
msc,train,55.757383,37.660784,0.5994403577367481,2.703183578683997
msc,train,55.777685,37.657484,2.859816238488695,2.495970906093056
msc,train,55.77371724425933,37.65665372617877,2.4180552606222387,2.4438365854175497
