name,latitude,longitude,region,y_coord,x_coord
Чистые пруды,55.76499,37.638293,msc,1.4463845725868365,1.2909350031052946
Лубянка,55.759889,37.625336,msc,0.8784519675411521,0.47734266864439096
Охотный ряд,55.757228,37.615078,msc,0.5821830592150906,-0.16677481300694172
Библиотека им.Ленина,55.752123,37.610388,msc,0.013805826957372352,-0.46126798789501744
Кропоткинская,55.745297,37.604217,msc,-0.7461822623846521,-0.8487557017991945
Парк культуры,55.736163,37.595027,msc,-1.7631354022852332,-1.42581161982022
Фрунзенская,55.727462,37.58022,msc,-2.7318781592332964,-2.3555686216722895
Спортивная,55.722388,37.562041,msc,-3.2968011797241403,-3.497059266380483
Воробьевы горы,55.709169,37.557293,msc,-4.768560386320849,-3.7951943351684947
Университет,55.69329,37.534511,msc,-6.5364708721240286,-5.225715146845687
Проспект Вернадского,55.676549,37.504584,msc,-8.400348339584973,-7.104882529220643
Юго-Западная,55.663146,37.482852,msc,-9.892582253728708,-8.46947167925702
Тропарево,55.6459,37.4725,msc,-11.812674874934824,-9.119491251105455
Румянцево,55.633,37.4419,msc,-13.248899713709253,-11.040916645000074
Саларьево,55.6227,37.424,msc,-14.395650697028334,-12.164887465370427
Филатов луг,55.5997,37.4075,msc,-16.956349779553967,-13.2009497742087
Прокшино,55.5813,37.4425,msc,-19.00490208507225,-11.003241642141093
Ольховая,55.5692,37.4589,msc,-20.352044521725094,-9.9734581532571
Коммунарка,55.559765,37.468716,msc,-21.402479762731087,-9.357094992456748
Щелковская,55.809962,37.798261,msc,6.453475304897714,11.335597951834815
Первомайская,55.794376,37.799364,msc,4.7181576875440445,11.404857161860253
Измайловская,55.787713,37.779896,msc,3.9763124272160852,10.182428863245294
Партизанская,55.788401,37.74882,msc,4.052912950924717,8.231114413103088
Семеновская,55.783096,37.719289,msc,3.462265240645034,6.376812733832833
Электрозаводская,55.782057,37.7053,msc,3.3465851930954793,5.498419542736317
Бауманская,55.772405,37.67904,msc,2.2719530067345004,3.849509169261905
Курская,55.758564,37.659039,msc,0.7309298531172627,2.593612029270169
Площадь Революции,55.756741,37.62236,msc,0.527961743485668,0.2904745048472607
Арбатская,55.752312,37.60349,msc,0.03484857987524369,-0.8944052832958274
Смоленская,55.747713,37.583802,msc,-0.47719155617168507,-2.1306486817716204
Киевская,55.743117,37.564132,msc,-0.9888972949938865,-3.365761786365366
Парк Победы,55.735679,37.516865,msc,-1.8170225198585133,-6.333737624179542
Славянский бульвар,55.729542,37.470973,msc,-2.5002974396104536,-9.215374157071317
Кунцевская,55.730673,37.446522,msc,-2.3743753901890123,-10.750693534358376
Молодежная,55.741375,37.415627,msc,-1.1828465844315081,-12.690642015823153
Крылатское,55.756842,37.408139,msc,0.5392068209301186,-13.160825909998293
Строгино,55.803831,37.402405,msc,5.770860102451517,-13.520873219740821
Мякинино,55.823342,37.385214,msc,7.943184323353765,-14.600324299744532
Волоколамская,55.835154,37.382453,msc,9.258317297803362,-14.773691996771799
Митино,55.846098,37.36122,msc,10.476810530737652,-16.106946526346583
Пятницкое шоссе,55.853634,37.353108,msc,11.315861963883703,-16.616312073462012
Кунцевская,55.730815,37.446754,msc,-2.358565546791275,-10.736125866003503
Пионерская,55.736027,37.466728,msc,-1.7782772374079059,-9.481924862244826
Филевский парк,55.739665,37.483902,msc,-1.3732330317064507,-8.403540402365829
Багратионовская,55.743544,37.497042,msc,-0.9413563298372202,-7.578457526302146
Фили,55.746763,37.514035,msc,-0.5829619210663054,-6.511438148412056
Кутузовская,55.740544,37.5341,msc,-1.2753677242423096,-5.251522539819031
Студенческая,55.738761,37.54842,msc,-1.4738817518715581,-4.352345221311301
Киевская,55.743168,37.565425,msc,-0.9832191002678395,-3.284572096042895
Смоленская,55.749083,37.582173,msc,-0.3246595272837392,-2.2329363933189037
Арбатская,55.752122,37.601553,msc,0.01369448964229841,-1.0160328476278797
Александровский сад,55.752255,37.608775,msc,0.02850235273673324,-0.5625510349317443
Выставочная,55.750243,37.542641,msc,-0.1955082935787323,-4.715218532165191
Международная,55.748324,37.533282,msc,-0.40916450226141066,-5.302886158786734
Алтуфьево,55.899034,37.586473,msc,16.370678838246775,-1.9629319975671649
Бибирево,55.883868,37.603011,msc,14.682098613092332,-0.9244825178586538
Отрадное,55.864273,37.605066,msc,12.500400375090663,-0.7954455302554723
Владыкино,55.848236,37.590451,msc,10.714853414497291,-1.7131465339491236
Петровско-Разумовская,55.836565,37.575512,msc,9.415416403327415,-2.6511920355184078
Тимирязевская,55.81866,37.574498,msc,7.421897134352253,-2.714862838367296
Дмитровская,55.808056,37.581734,msc,6.241264405248804,-2.2605019582570707
Савёловская,55.794054,37.587163,msc,4.682306824898293,-1.9196057106244766
Менделеевская,55.781999,37.599141,msc,3.3401275971805853,-1.1674864793402095
Цветной бульвар,55.771653,37.620466,msc,2.1882270726563666,0.17154698386044406
Чеховская,55.765747,37.608493,msc,1.5306671031224584,-0.5802583004322022
