Unnamed: 0,names,lat,lng,y_coord,x_coord
47,Медведково,55.888103,37.661562,15.153622473260786,2.752035535821711
48,Бабушкинская,55.870641,37.664341,13.20940978328511,2.9265337213304985
49,Свиблово,55.855558,37.653379,11.530078551791274,2.238210897773573
50,Ботанический сад,55.845556,37.640278,10.416464780171115,1.415576569308691
51,ВДНХ,55.819626,37.640751,7.529450161147348,1.44527705330411
52,Алексеевская,55.807794,37.638699,6.2120937620990935,1.316428441857691
53,Рижская,55.792494,37.636114,4.508619442557489,1.154111842722758
54,Проспект Мира,55.779584,37.633646,3.0712467182784646,0.9991418745855873
55,Сухаревская,55.772315,37.63285,2.261932615145255,0.9491596643708912
56,Тургеневская,55.765371,37.636732,1.488804180441374,1.1929171264231686
57,Китай-город,55.75436,37.633877,0.26286744691981867,1.013646762217119
58,Октябрьская,55.729264,37.611049,-2.5312490980540963,-0.41976265985989974
59,Шаболовская,55.718828,37.607892,-3.693159975585132,-0.6179961251258206
60,Ленинский проспект,55.70678,37.58499,-5.034543308434783,-2.0560521184680605
61,Академическая,55.687147,37.5723,-7.220409061613481,-2.8528790357547695
62,Профсоюзная,55.677671,37.562595,-8.275429407581635,-3.462272655300101
63,Новые Черемушки,55.670077,37.554493,-9.120914136865077,-3.9710111386236013
64,Калужская,55.656682,37.540075,-10.612255782566917,-4.876342065767477
65,Беляево,55.642357,37.526115,-12.207135999697966,-5.752914337906597
66,Коньково,55.631857,37.519156,-13.376155767945729,-6.189881826830689
67,Теплый Стан,55.61873,37.505912,-14.837650315828446,-7.02149515016371
68,Ясенево,55.606182,37.5334,-16.234678955483254,-5.295476736991001
69,Новоясеневская,55.601947,37.553017,-16.706181038720413,-4.063691710083357
70,Бульвар Рокоссовского,55.817222,37.736944,7.2617923495624375,7.485400229477664
71,Черкизовская,55.802787,37.744863,5.654622971009827,7.982647677828664
72,Преображенская площадь,55.796322,37.713582,4.934821636810416,6.018460468554287
73,Сокольники,55.789282,37.679895,4.151001715538255,3.903196086050689
74,Красносельская,55.780014,37.666097,3.119121980861106,3.0367959782866447
75,Комсомольская,55.775672,37.654772,2.635693321430946,2.3256797631911073
76,Красные ворота,55.768307,37.6478,1.8156913260799337,1.8878958918895383
77,Чистые пруды,55.76499,37.638293,1.4463845725868365,1.2909350031052946
78,Лубянка,55.759889,37.625336,0.8784519675411521,0.47734266864439096
79,Охотный ряд,55.757228,37.615078,0.5821830592150906,-0.16677481300694172
80,Библиотека им.Ленина,55.752123,37.610388,0.013805826957372352,-0.46126798789501744
81,Кропоткинская,55.745297,37.604217,-0.7461822623846521,-0.8487557017991945
